COUNTY,RollNo,SCHOOL NAME,ADDRESS LINE 1,ADDRESS LINE 2,0-9,10-19,20-24,25-29,30-34,35-39,40and over,Total Pupils,Walking admin principal,Full-time equivalent mainstream class teachers,Other teachers full-time,Other teachers part-time,,,,,
TIPPERARY N.R.,04067F,CONVENT OF MERCY,NEWPORT,CO TIPPERARY,,,,140,123,,,263,1,9,2,0,,,,,
TIPPERARY N.R.,06658P,KILDANGAN N S,CILL AN DAINGIN   POCON,AONACH URMHUN,,19,41,82,,,,142,1,6,2,0,,,,,
TIPPERARY N.R.,09190G,BOHER N S,BOHER,KILLALOE,,19,,82,,,,101,0,4,3,0,,,,,
TIPPERARY N.R.,11367I,PORTROE N S,NENAGH,CO TIPPERARY,,19,68,52,,,,139,0,6,2,0,,,,,
TIPPERARY N.R.,11384I,GURTAGARRY N S,TOOMEVARA,NENAGH,,19,,28,,,,47,0,2,0,0,,,,,
TIPPERARY N.R.,12124K,REAR N S,NEWPORT,CO TIPPERARY,,,48,25,,,,73,0,3,2,0,,,,,
TIPPERARY N.R.,12540B,CLONMORE N S,TEMPLEMORE,CO TIPPERARY,,,83,,,,,83,0,4,1,1,,,,,
TIPPERARY N.R.,13867P,ROSCREA N S NO 2,ST CRONANS NS,ROSCREA,,30,24,,,,,54,0,3,1,0,,,,,
TIPPERARY N.R.,13991Q,BIRDHILL N S,KILLALOE,CO TIPPERARY,,,43,57,62,,,162,0,6,2,0,,,,,
TIPPERARY N.R.,14460N,KILLEA N S,TEMPLEMORE,CO TIPPERARY,,14,22,,,,,36,0,2,0,0,,,,,
TIPPERARY N.R.,15560W,BISHOP HARTY NS,BALLINREE,NENAGH,,19,24,54,,,,97,0,4,2,0,,,,,
TIPPERARY N.R.,15696B,SILVERMINES N S,NENAGH,CO TIPPERARY,,,42,,30,,,72,0,3,1,1,,,,,
TIPPERARY N.R.,15778D,ST MARYS N S,NENAGH,CO TIPPERARY,,,22,54,,,,76,0,3,2,0,,,,,
TIPPERARY N.R.,15795D,ST MARYS N S,TEMPLEMORE,CO TIPPERARY,,32,,,,,,32,0,2,0,1,,,,,
TIPPERARY N.R.,16112A,ST MARYS CONVENT,NENAGH,CO TIPPERARY,,38,92,217,63,,,410,1,16,6,0,,,,,
TIPPERARY N.R.,16166A,CARRIG N S,BIRR,CO OFFALY,,18,24,53,,,,95,0,4,2,0,,,,,
TIPPERARY N.R.,16211C,TWO MILE BORRIS N S,THURLES,CO TIPPERARY,,,92,53,,,,145,0,6,2,0,,,,,
TIPPERARY N.R.,16250M,TEMPLETUOHY N S,THURLES,CO TIPPERARY,,,71,,,,,71,0,3,4,0,,,,,
TIPPERARY N.R.,16276H,CARRIG N S,BALLYCOMMON,NENAGH,,,24,55,63,36,,178,0,6,3,0,,,,,
TIPPERARY N.R.,16344V,ST MARYS JNR B N S,NENAGH,CO TIPPERARY,,,44,84,,,,128,1,5,3,0,,,,,
TIPPERARY N.R.,16727O,SCOIL NA MBRAITHRE,NENAGH,CO TIPPERARY,,,200,26,,,,226,1,10,4,0,,,,,
TIPPERARY N.R.,16810B,EOCHAILLE ARA N S,NEWTOWN,NENAGH,,16,44,53,,,,113,0,5,1,1,,,,,
TIPPERARY N.R.,16835R,S N NAOMH TREASA,BORRISOLEIGH,THURLES,,18,,29,,37,,84,0,3,2,0,,,,,
TIPPERARY N.R.,16933R,LOCH MOR MAIGH N S,TEMPLEMORE,CO TIPPERARY,,19,65,,,,,84,0,4,2,0,,,,,
TIPPERARY N.R.,16979S,ST COLMCILLES PRIMARY SCHOOL,TEMPLEMORE,CO TIPPERARY,,35,22,,33,,,90,0,4,3,0,,,,,
TIPPERARY N.R.,17179O,S N AN CILLIN,BIRR,CO OFFALY,,16,45,28,,,,89,0,4,1,0,,,,,
TIPPERARY N.R.,17237C,S N CILL BARFHIONN,COOLBAWN,NENAGH,,37,24,,,,,61,0,3,1,0,,,,,
TIPPERARY N.R.,17244W,S N NAOMH RUADHAIN,LORRHA,NENAGH,7,10,,,,,,17,0,2,0,0,,,,,
TIPPERARY N.R.,17296S,S N BAILE NA HINSE,BIRDHILL,LIMERICK,,18,47,29,,,,94,0,4,1,1,,,,,
TIPPERARY N.R.,17498H,S N NAOMH SHEOSAMH,TOOMEVARA,NENAGH,,19,23,25,,,,67,0,3,2,0,,,,,
TIPPERARY N.R.,17512V,S N FLANNAIN NAOFA,RATH CHOBAIN,ROSCRE,,18,,55,,,,73,0,3,0,0,,,,,
TIPPERARY N.R.,17543J,CLOUGHJORDAN N S,CLOUGHJORDAN,CO TIPPERARY,,17,42,29,,,,88,0,4,1,0,,,,,
TIPPERARY N.R.,17608L,S N LUA NAOFA,LORRHA,NENAGH,,32,20,,,,,52,0,3,1,2,,,,,
TIPPERARY N.R.,17634M,SCOIL AILBHE,THURLES,CO TIPPERARY,,,24,129,34,35,,222,1,8,5,0,,,,,
TIPPERARY N.R.,17640H,S N COLMAIN NAOFA,TIR DA GLAS,NENAGH,,30,20,,,,,50,0,3,1,0,,,,,
TIPPERARY N.R.,17653Q,CASTLE INY N S,LUACH MAGH,TEMPLEMORE,,14,20,,,,,34,0,2,0,0,,,,,
TIPPERARY N.R.,17679L,S N BRIGHDE,FANTAN,BORRISOLEIGH THURLES,9,15,,,,,,24,0,2,0,0,,,,,
TIPPERARY N.R.,17681V,S N NA MAIGHNE,THURLES,CO TIPPERARY,,16,45,29,,,,90,0,4,1,0,,,,,
TIPPERARY N.R.,17703F,S N ARD CROINE,NENAGH,CO TIPPERARY,,,,54,62,,,116,0,4,1,1,,,,,
TIPPERARY N.R.,17712G,S N CHIARDA NAOFA,KILKEARY,NENAGH,,19,21,,,,,40,0,2,0,0,,,,,
