COUNTY,RollNo,SCHOOL NAME,ADDRESS LINE 1,ADDRESS LINE 2,0-9,10-19,20-24,25-29,30-34,35-39,40and over,Total Pupils,Walking admin principal,Full-time equivalent mainstream class teachers,Other teachers full-time,Other teachers part-time,,,,,
CARLOW,00651R,BORRIS MXD N S,BORRIS,CO CARLOW,,18,42,108,31,,,199,1,8,2,0,,,,,
CARLOW,00977B,BALLYCONNELL N S,Ballyconnell,Tullow,,,43,,122,,,165,0,6,1,0,,,,,
CARLOW,01116A,BAILE AN CHUILINN N S,MUINEBEAG,CO CARLOW,,,23,54,32,,,109,0,4,2,0,,,,,
CARLOW,01215C,NEWTOWN DUNLECKNEY MXD,MUINEBEAG,CO CARLOW,,,92,,31,,,123,0,5,2,0,,,,,
CARLOW,01415K,RATHOE NS,RATHOE,CO CARLOW,,35,20,108,,,,163,1,7,2,0,,,,,
CARLOW,02124E,SCOIL NAIS MOLAISE,OLD LEIGHLIN,VIA BILBOA,,18,43,78,,,,139,0,6,2,0,,,,,
CARLOW,04077I,SCOIL NAIS BHRIDE,GRANGE,TULLOW,,,24,54,34,,,112,0,4,1,0,,,,,
CARLOW,09320Q,SCOIL NAIS MHUIRE,DROIMFEIGH,BAGENALSTOWN,,16,24,53,,,,93,0,4,0,0,,,,,
CARLOW,11135K,ST MARYS N S,MUINEBEAG,CO CARLOW,,18,42,27,,,,87,0,4,1,0,,,,,
CARLOW,13105L,ST BRIDGETS MONASTERY,MUINEBEAG,CO CARLOW,,19,45,28,30,,,122,0,5,2,0,,,,,
CARLOW,13507I,S N MUIRE LOURDES,TULLOW,CO CARLOW,,71,70,80,,,,221,1,10,3,0,,,,,
CARLOW,13607M,ST COLUMBAS N S,TULLOW,CO CARLOW,,,43,28,,,,71,0,3,1,1,,,,,
CARLOW,14837L,S N PEADAR AGUS POL,BALLON,CO CARLOW,,,89,58,67,35,,249,1,9,2,0,,,,,
CARLOW,16080N,S N PHADRAIG NAOFA,PATRICIAN BROTHERS,TULLOW,,,46,107,61,,,214,1,8,4,0,,,,,
CARLOW,16938E,FR CULLEN MEMORIAL N S,TINRYLAND,CO CARLOW,,,,137,32,,,169,0,6,1,1,,,,,
CARLOW,17053P,BISHOP FOLEY MEMORIAL SCHOOL,Station Road,Co Carlow,,,,271,,,,271,1,10,5,0,,,,,
CARLOW,17096K,S N NMH FHINGIN,GARRYHILL,MUINEBHEAG,,16,20,,,,,36,0,2,0,0,,,,,
CARLOW,17127S,ST JOSEPHS NS,HACKETSTOWN,CO CARLOW,,35,90,,,,,125,0,6,2,0,,,,,
CARLOW,17330P,SCOIL N MOLING-GLYNN,ST MULLINS,KILKENNY,,36,23,,,,,59,0,3,1,0,,,,,
CARLOW,17462J,SCOIL NAIS MHICHIL,BAILE NUA,BORRIS,,,42,,,,,42,0,2,0,0,,,,,
CARLOW,17481N,ST BRENDANS N S,DRUMMOND,ST MULLINS,8,12,,,,,,20,0,2,0,0,,,,,
CARLOW,17501Q,Bennekerry National School,Bennekerry,Co Carlow,,,41,269,32,,,342,1,13,3,0,,,,,
CARLOW,17514C,S N CLUAIN NA GALL,CLONEGAL,ENNISCORTHY,,,,82,30,,,112,0,4,1,0,,,,,
CARLOW,17663T,ST PATRICKS N S,RATHVILLY,CO CARLOW,,19,70,53,60,,,202,1,8,2,0,,,,,
CARLOW,17669I,S N TREASA NAOMHA,CILL TEAGAIN,CO CILLE MANNTAIN,,34,23,,,,,57,0,3,0,0,,,,,
CARLOW,17756D,BALLINABRANNA MXD N S,MILFORD,CO CARLOW,,,24,138,,,,162,0,6,2,0,,,,,
CARLOW,17796P,Our Lady's National School,Nurney,Carlow,,18,23,,,,,41,0,2,0,0,,,,,
CARLOW,17994T,S N FHOIRTCHEIRN/FHININ,MIDHISEAL,CO CEATHARLACH,,,41,,30,36,,107,0,4,2,0,,,,,
CARLOW,18024N,SCOIL MUIRE GAN SMAL,ARD AITINN,CO CEATHARLACH,,,22,54,,,,76,0,3,1,0,,,,,
CARLOW,18090D,S N CILL DAMHAIN,CILL DAMHAIN,INIS CORTHAIGH,,,71,26,,,,97,0,4,2,0,,,,,
CARLOW,18183K,QUEEN OF UNIVERSE N S,MUINEBHEAG,CO CARLOW,,,24,180,30,,,234,1,9,2,0,,,,,
CARLOW,18363M,S N MUIRE GAN SMAL,GREEN LANE,CARLOW,,,24,300,125,,,449,1,16,5,0,,,,,
CARLOW,18424G,SCOIL NAIS IOSEF NAOFA,CARLOW,CO CARLOW,,18,42,107,,,,167,1,7,5,0,,,,,
CARLOW,18510W,St Patrick's National School,Ballymurphy,Borris,,52,,,,,,52,0,3,0,0,,,,,
CARLOW,18609S,S N FIONTAIN NAOFA,RATHMORE,TULLOW,,29,,,,,,29,0,2,0,0,,,,,
CARLOW,18615N,S N CEATHARLACH,GREEN ROAD,CARLOW,,,23,54,61,,,138,0,5,2,0,,,,,
CARLOW,19477J,HOLY FAMILY B N S,ASKEA,CARLOW,,37,44,215,62,,,358,1,14,10,0,,,,,
CARLOW,19478L,Holy Family Girls N S,ASKEA,CARLOW,,30,24,131,188,,,373,1,14,7,0,,,,,
CARLOW,19784S,ST LASERIANS MXD NS,LEIGHLINBRIDGE,CO CARLOW,,,44,77,60,,,181,1,7,2,0,,,,,
CARLOW,19811S,S N EOGHAN UI THUAIRISC,BOTHAR PHOLLERTON,CARLOW,,,63,171,245,,,479,1,17,3,0,,,,,
CARLOW,19958C,S.N. NAOMH FHIACH,GRAIGUECULLEN,CO CARLOW,,,115,293,95,,,503,1,19,6,0,,,,,
CAVAN,01356U,KILNALECK MIXED N S,KILNALECK,CO CAVAN,,18,22,54,,,,94,0,4,1,0,,,,,
CAVAN,05627W,BAILIEBORO MODEL N S,BAILIEBORO,CO CAVAN,,17,48,28,,,,93,0,4,1,0,,,,,
CAVAN,06998Q,St Patrick's NS,Corlough,Belturbet Post Office,,25,,25,,,,50,0,3,1,0,,,,,
CAVAN,08143P,S N MHUIRE,MUILEANN LARAINN,SWANLINBAR,,13,,29,31,,,73,0,3,4,0,,,,,
CAVAN,08453H,S N CRUABANAI,CRUABANAI,CO CAVAN,,,22,76,61,,,159,0,6,2,0,,,,,
CAVAN,08490N,ST CLARES PRIMARY SCHOOL,CAVAN,CO CAVAN,,164,302,,,,,466,1,24,11,0,,,,,
CAVAN,08948L,MILLTOWN N S,BELTURBET,CO CAVAN,,19,45,29,,,,93,0,4,1,0,,,,,
CAVAN,10146K,CORLISS N S,KILLESHANDRA,CO CAVAN,9,13,,,,,,22,0,2,0,0,,,,,
CAVAN,11205F,KILLESHANDRA National School ( C of,KILLESHANDRA,CO CAVAN,,36,22,,,,,58,0,3,0,0,,,,,
CAVAN,11409V,BALLYCONELL CENTRAL N S,BALLYCONNELL,CO CAVAN,,32,,,,,,32,0,2,0,0,,,,,
CAVAN,11517B,CAVAN 1 N S,CAVAN,CO CAVAN,,,22,26,33,,,81,0,3,1,0,,,,,
CAVAN,11541V,DROMAILI S N,CAVAN,CO CAVAN,,,23,157,62,,,242,1,9,2,1,,,,,
CAVAN,12099O,BILLIS N S,NEW INN,BALLYJAMESDUFF,,16,66,,,,,82,0,4,1,0,,,,,
CAVAN,12312L,DARLEY N S,COOTEHILL,CO CAVAN,,,43,27,,,,70,0,3,0,0,,,,,
CAVAN,12713G,CORRATOBER N S,ARVA,CO CAVAN,8,13,,,,,,21,0,2,0,0,,,,,
CAVAN,13203L,ST PATRICKS MXD N S,GOWNA,CO CAVAN,,15,,82,,,,97,0,4,1,1,,,,,
CAVAN,13271F,FAIRGREEN N S,BELTURBET,CO CAVAN,,34,,,,,,34,0,2,0,0,,,,,
CAVAN,14073G,CASTLETARA N S,BALLYHAISE,CO CAVAN,,35,,53,,,,88,0,4,0,0,,,,,
CAVAN,14211P,S N LATHRACH 2,KINGSCOURT,CO CAVAN,,,,53,65,,,118,0,4,2,1,,,,,
CAVAN,14320U,CORLEA N S,KINGSCOURT,CO CAVAN,8,15,,,,,,23,0,2,0,0,,,,,
CAVAN,14336M,SEARCOG I N S,SHERCOCK,VIA DUNDALK,,19,24,55,65,,,163,0,6,1,1,,,,,
CAVAN,14399N,KILLYGARRY N S,KILLYGARRY,CO CAVAN,,,,137,30,,,167,1,6,4,0,,,,,
CAVAN,14732U,SCOIL BHRIDE,MOUNTNUGENT,CO CAVAN,,,45,82,,,,127,0,5,1,1,,,,,
CAVAN,15120R,KILLYCONNAN N S,STRADONE,CO CAVAN,,19,22,,65,,,106,0,4,1,0,,,,,
CAVAN,15452T,KILDALLON N S,ARDLOUGHER,BELTURBET,,11,22,25,,,,58,0,3,0,1,,,,,
CAVAN,15502I,KILLINKERE N S,VIRGINIA,CO CAVAN,,,47,80,61,,,188,1,7,2,0,,,,,
CAVAN,16057S,CONVENT OF MERCY N S,BELTURBET,CO CAVAN,,,67,79,,,,146,1,6,4,1,,,,,
CAVAN,16083T,VIRGINIA MXD N S,VIRGINIA,CO CAVAN,,18,84,58,220,,,380,1,14,5,0,,,,,
CAVAN,16093W,BALLYCONNELL MXD N S,BALLYCONNELL,CO CAVAN,,19,22,25,60,,,126,0,5,4,0,,,,,
CAVAN,16316Q,ST MARYS N S,ARVA,CO CAVAN,,,70,53,,,,123,0,5,2,0,,,,,
CAVAN,16390F,SCOIL BHRIDE,KILLSHANDRA,CO CAVAN,,19,44,,30,,,93,0,4,2,0,,,,,
CAVAN,16520P,ST MARY'S N.S.,DRUNG,BALLYHAISE,,52,,,,,,52,0,3,1,0,,,,,
CAVAN,16767D,CORONEA N S,ARVA,CO CAVAN,,36,,,,,,36,0,2,0,0,,,,,
CAVAN,16921K,S N BEAL ATHA NA NEACH,BALLINAGH,CO CAVAN,,,23,106,60,,,189,1,7,4,0,,,,,
CAVAN,16959M,S N CORRABHA,GLANGEVLIN N S,CARRICK ON SHANNON,8,,21,,,,,29,0,2,0,0,,,,,
CAVAN,17230L,SCOIL NAOMH BRID,"CILL UACHTAIR,","AN CNOC RUA,",,17,,55,,,,72,0,3,1,0,,,,,
CAVAN,17240O,S N TAMHNACH DHUIBH,BAILIEBORO,CO CAVAN,,16,20,52,,,,88,0,4,0,0,,,,,
CAVAN,17326B,S N NAOMH FEIDHLIM,CAVAN,CO CAVAN,,38,82,57,,,,177,1,8,5,0,,,,,
CAVAN,17440W,S N NAOMH MAODHOG,CILL NA BHEART,BEAL ATHA CONAILL,,32,44,,,,,76,0,4,1,0,,,,,
CAVAN,17479D,SCOIL MHUIRE,LACKEN,BALLINAGH,,18,43,27,,,,88,0,4,1,0,,,,,
CAVAN,17531C,BAILE NA MONA,BAILIEBORO,CO CAVAN,,18,47,,33,,,98,0,4,1,1,,,,,
CAVAN,17601U,S N DOIRE NA CEISE,AN MHUINCHILLE,CO CAVAN,,,21,134,,,,155,0,6,1,0,,,,,
CAVAN,17625L,CNOC AN TEAMPAILL,VIRGINIA,CO CAVAN,,19,44,106,,,,169,1,7,2,1,,,,,
CAVAN,17630E,S N MAODHOG,CNOC BRIGHDE,BAILIEBORO,,27,22,,,,,49,0,3,0,0,,,,,
CAVAN,17780A,BALLYHAISE N S,CAVAN,CO CAVAN,,,22,134,,,,156,0,6,1,1,,,,,
CAVAN,17990L,S N DROM CNAMH,DROM CNAMH,CO CAVAN,,29,,,,,,29,0,2,0,0,,,,,
CAVAN,18059J,BAILIEBORO N S,BAILIEBORO,CO CAVAN,,37,94,27,100,,,258,1,10,4,0,,,,,
CAVAN,18127A,S N MHUIRE,BELTURBET,CO CAVAN,,,20,56,,,,76,0,3,0,0,,,,,
CAVAN,18340A,S N PADRAIG,LIOS BO DUIBHE,AN MHUINCHILLE,,33,20,,,,,53,0,3,0,0,,,,,
CAVAN,18346M,S N GREACH RATHAIN,BEAL TAIRBEIRT,CO CAVAN,,17,,26,31,,,74,0,3,1,0,,,,,
CAVAN,18355N,KNOCKNAGILLA N S,AN SRAITH DOIMHIN,CO CAVAN,,,21,50,33,,,104,0,4,1,0,,,,,
CAVAN,18393V,S N CILLIN,CROS RIABHACH,MULLACH,,18,43,,,,,61,0,3,2,0,,,,,
CAVAN,18518P,S N CORR LORGAN,CABHAN,CO CAVAN,,,42,52,,,,94,0,4,1,0,,,,,
CAVAN,18564W,S N LEITIR,CILL CATHLAIGH,CO CAVAN,,,24,107,30,,,161,0,6,1,0,,,,,
CAVAN,18833A,S N LATHRACH,LATHRACH,SRAITH AN DOMHAIN,,,66,55,,,,121,0,5,1,1,,,,,
CAVAN,18857O,S N CARRAIG A BRUIS,VIRGINIA,CO CAVAN,,,47,103,,,,150,0,6,1,1,,,,,
CAVAN,19202Q,DRUMKILLY NS,KILNALECK,CO CAVAN,,,23,102,,,,125,0,5,2,0,,,,,
CAVAN,19285A,KILL N S,COOTEHILL,CO CAVAN,,15,20,26,,,,61,0,3,1,0,,,,,
CAVAN,19322D,KILMORE CENTRAL N S,KILMORE CENTRAL N S,KILMORE,,17,,25,,,,42,0,2,0,0,,,,,
CAVAN,19326L,BUTLERSBRIDGE NS,CAVAN,CO CAVAN,,,24,109,31,,,164,1,6,4,0,,,,,
CAVAN,19363R,MULLAHORAN CENTRAL N S,KILCOGY,VIA LONGFORD,,,,106,34,,,140,0,5,2,0,,,,,
CAVAN,19378H,BALLYNARRY N S,BALLYHEELAN,KILNALECK,,29,22,53,,,,104,0,5,1,0,,,,,
CAVAN,19418Q,CASTLERAHAN CENTRAL NS,CASTLERAHAN,BALLYJAMESDUFF,,,23,82,33,,,138,0,5,2,0,,,,,
CAVAN,19432K,CROSSKEYS CENTRAL N S,CROSSKEYS,CO CAVAN,,18,,109,,,,127,0,5,1,0,,,,,
CAVAN,19527V,CABRA CENTRAL N S,CABRA,KINGSCOURT,,34,22,,,,,56,0,3,1,0,,,,,
CAVAN,19568M,ST PATRICKS,BRUSKEY CARRIGANS PO,BALLINAGH,,16,41,,,,,57,0,3,1,0,,,,,
CAVAN,19596R,CROSSERLOUGH N S,CROSSERLOUGH,CO. CAVAN,,,68,53,,,,121,0,5,1,0,,,,,
CAVAN,19608V,ST KILLIANS N S,MULLAGH,CO CAVAN,,,46,192,125,,,363,1,13,4,1,,,,,
CAVAN,19679V,S N AODHAIN NAOFA,AN BABHUN BUI,BEAL TAIRBIRT,,,24,51,,,,75,0,3,0,0,,,,,
CAVAN,19871N,ST PATRICKS N S,KILLINAGH,BLACKLION  VIA SLIGO,,37,41,,,,,78,0,4,0,1,,,,,
CAVAN,19921C,DRUNG NO 2 NS,DRUNG,CO CAVAN,,29,,,,,,29,0,2,0,0,,,,,
CAVAN,19983B,ST CLARES NS,BALLYJAMESDUFF,CO CAVAN,,,48,249,66,35,,398,1,14,5,1,,,,,
CAVAN,20026G,Gaelscoil Bhreifne,Halla na nGasóga,Bóthar an Iarnróid,,17,22,,,,,39,0,2,1,1,,,,,
CAVAN,20134J,ST MICHAELS N. S.,STRADONE,CAVAN,,17,21,26,,,,64,0,3,1,1,,,,,
CAVAN,20172R,ST JOSEPHS N S,KINGSCOURT,CO CAVAN,,,47,191,123,,,361,1,13,3,0,,,,,
CAVAN,20277I,St Michaels National School,Cootehill,Co Cavan,,38,109,27,,,,174,1,8,4,0,,,,,
CLARE,02439G,S N MHUIRE,FEAKLE,CO CLARE,,53,23,,,,,76,0,4,2,0,,,,,
CLARE,03898U,TOONAGH N S,TOONAGH,ENNIS,,18,46,,34,,,98,0,4,2,0,,,,,
CLARE,03928D,MULLACH N S,MULLACH,ENNIS,,31,20,,,,,51,0,3,3,0,,,,,
CLARE,04548V,SCOIL SEANAIN NAOFA,CLUAINLARA,CO AN CHLAIR,,34,42,110,158,,,344,1,13,4,0,,,,,
CLARE,04919H,CRATLOE N S,CRATLOE,CO CLARE,,,109,,128,38,,275,1,10,2,0,,,,,
CLARE,05253H,O CALLAGHANS MILLS N S,OCALLAGHANS MILLS,CO CLARE,,33,20,,,,,53,0,3,1,0,,,,,
CLARE,07315N,HOLY FAMILY SNR,ENNIS,CO CLARE,,,161,132,,77,,370,1,14,7,0,,,,,
CLARE,08241P,SCROPUL N S,MULLAGH,ENNIS,4,,,,,,,4,0,1,1,0,,,,,
CLARE,09390O,ROCKMOUNT MIXED N S,MILTOWN MALBAY,CO CLARE,,,21,26,,,,47,0,2,1,0,,,,,
CLARE,09425H,RINEEN N S,MILTOWN MALBAY,CO CLARE,,18,20,,,,,38,0,2,0,0,,,,,
CLARE,10191P,S N NA CORADH,MULLACH,INIS,8,12,,,,,,20,0,2,0,1,,,,,
CLARE,10568N,S N CUIBHREANN,CILL CHAOI,CO AN CHLAIR,9,16,,,,,,25,0,2,1,0,,,,,
CLARE,10763L,BOSTON N S,TUBBER,GORT,12,,,,,,,12,0,2,0,0,,,,,
CLARE,10886E,TUBBER N S,TUBBER,CO CLARE,6,11,,,,,,17,0,2,0,0,,,,,
CLARE,11234M,CLOHANBEG N S,CREE,KILRUSH,,15,21,,,,,36,0,2,0,0,,,,,
CLARE,11714D,BANSHA N S,KILKEE,CO CLARE,,14,20,25,,,,59,0,3,0,0,,,,,
CLARE,11765U,DOONBEG N S,DOONBEG,CO CLARE,,33,,,,,,33,0,2,1,0,,,,,
CLARE,11990E,BODYKE N S,BODYKE,CO CLARE,,30,,,,,,30,0,2,1,0,,,,,
CLARE,12633I,COOLMEEN N S,KILMURRAY MCMAHON,KILRUSH,9,11,,,,,,20,0,2,1,0,,,,,
CLARE,12848G,DOONAHA N S,KILKEE,CO CLARE,14,,,,,,,14,0,2,0,0,,,,,
CLARE,13351D,CLONIGULANE N S,KILMIHIL,KILRUSH,14,,,,,,,14,0,2,0,0,,,,,
CLARE,13379C,S N PADRAIG NFA FANOIR,BALLYVAUGHAN,CO CLARE,17,,,,,,,17,0,2,0,0,,,,,
CLARE,13418J,BALLYEA MIXED N S,SN  BAILE AODHA,DARRAGH,,15,87,81,,,,183,1,8,1,0,,,,,
CLARE,13478E,DROIMDIOGACH N S,KILLMURRY MC MAHON,CO CLARE,,18,21,,,,,39,0,2,0,0,,,,,
CLARE,13625O,KILNAMONA N S,ENNIS,CO CLARE,,,23,79,,,,102,0,4,2,0,,,,,
CLARE,13730L,CLOHANES N S,MULLACH,CO CLARE,,16,24,,,,,40,0,2,0,0,,,,,
CLARE,13738E,BURRANE N S,KILRUSH,CO CLARE,,18,,54,,,,72,0,3,1,0,,,,,
CLARE,13804O,S N NA CRANNAIGHE,CRANNACH,CILL ROIS,9,14,,,,,,23,0,2,1,0,,,,,
CLARE,13826B,KILMIHIL N.S.,KILMIHIL,ENNIS,,,22,52,32,,,106,0,4,3,0,,,,,
CLARE,13870E,KILKISHEN N S,SN MUIRE NA D CHOMHAIRL,CILL  CHISIN,,19,,50,34,,,103,0,4,1,0,,,,,
CLARE,13876Q,MOVEEN N S,KILKEE,CO CLARE,,14,,53,,,,67,0,3,1,0,,,,,
CLARE,13942D,S N CILL MUIRE,INIS,CO CLARE,,,23,28,95,,,146,0,5,1,0,,,,,
CLARE,14111L,CROSS N S,KILRUSH,CO CLARE,,31,,,,,,31,0,2,0,0,,,,,
CLARE,14468G,KILMALEY N S,ENNIS,CO CLARE,,,21,51,,37,,109,0,4,2,0,,,,,
CLARE,14571W,TOMGRANEY N S,TOMGRANEY,LIMERICK,,16,23,54,,,,93,0,4,1,0,,,,,
CLARE,14622N,EIDHNEACH N S,INIS,CO CLARE,,18,71,,30,,,119,1,5,2,0,,,,,
CLARE,14757N,S N MHAINISTIR CHUINCHE,QUIN,CO CLARE,,,21,113,125,,,259,1,9,3,0,,,,,
CLARE,14830U,BAREFIELD MIXED N S,ENNIS,CO CLARE,,,140,159,93,,,392,1,15,4,0,,,,,
CLARE,15042A,ENNIS N S,ENNIS,CO CLARE,,18,137,371,63,,,589,1,23,11,0,,,,,
CLARE,15221A,ANNAGH N S,MILTOWN MALBAY,CO CLARE,,29,46,,,,,75,0,4,1,1,,,,,
CLARE,15279I,CLOONEY N S,CLOONEY NS,TULLA,,19,20,51,,,,90,0,4,1,0,,,,,
CLARE,15301V,KILDYSART N S,ENNIS ROAD,KILDYSART,,,22,57,61,,,140,0,5,2,0,,,,,
CLARE,15327Q,CAHERMURPHY N S,KILMIHIL,CO CLARE,3,15,,,,,,18,0,2,0,0,,,,,
CLARE,15350L,STONEHALL N S,NEWMARKET ON FERGUS,CO CLARE,,,22,55,31,,,108,0,4,2,0,,,,,
CLARE,15370R,KILLALOE BOYS N S,KILLALOE,CO CLARE,,55,21,29,,,,105,0,5,4,0,,,,,
CLARE,15408Q,CONNOLLY N S,ENNIS,CO CLARE,,19,,28,,,,47,0,2,1,0,,,,,
CLARE,15968I,BALTARD N S,BALTARD,DOONBEG,5,,,,,,,5,0,1,0,1,,,,,
CLARE,15981A,LAKYLE N S,WHITEGATE VIA LIMERICK,CO CLARE,,,41,,,,,41,0,2,1,0,,,,,
CLARE,16186G,INCH N S,ENNIS,CO CLARE,,52,,,64,,,116,0,5,2,0,,,,,
CLARE,16677C,BUNSCOIL NA MBRAITHRE,ENNIS,CO CLARE,,18,71,214,283,35,,621,1,22,8,0,,,,,
CLARE,16908S,SIXMILEBRIDGE N S,ENNIS,CO CLARE,,,95,141,185,,,421,1,15,5,0,,,,,
CLARE,16930L,SCOIL AN SRAITH  S N,TULACH BRACH,CILL ROIS,,23,,,,,,23,0,2,1,0,,,,,
CLARE,16946D,SN AN PHAIRTIN MIXED,PARTEEN,CO LIMERICK,,,47,134,154,,,335,1,12,5,0,,,,,
CLARE,17020A,QUILTY NS,QUILTY,ENNIS,,,44,,,,,44,0,2,0,1,,,,,
CLARE,17026M,CLARECASTLE NATIONAL SCHOOL,INIS,CO CLARE,,,87,138,159,,,384,1,14,3,0,,,,,
CLARE,17246D,S N CLUAIN AN ATHA,EIDHNEACH,INIS,,29,,,,,,29,0,2,0,0,,,,,
CLARE,17270A,S N COLM CILLE,INIS DIOMAIN,CO CLARE,,33,,,,,,33,0,2,0,0,,,,,
CLARE,17517I,DOOLIN MIXED N S,ENNIS,CO CLARE,,,45,28,,,,73,0,3,1,1,,,,,
CLARE,17563P,OGONNELLOE NATIONAL SCHOOL,OGONNELLOE,TUAMGRANEY,,30,,82,,,,112,0,5,1,0,,,,,
CLARE,17583V,S N CNOC AN EIN,INIS,CO CLARE,,19,21,79,123,39,,281,1,10,3,0,,,,,
CLARE,17633K,S N EOIN BAISTE,BALLYVAUGHAN,VIA GALWAY,,49,,,,,,49,0,3,1,0,,,,,
CLARE,17687K,S N TULACH CRUINN,CILL RUIS,CO CLARE,5,10,,,,,,15,0,2,0,0,,,,,
CLARE,17801F,S N NA MAIGHDINE MUIRE,BROADFORD,CO CLARE,,18,24,28,31,,,101,0,4,1,0,,,,,
CLARE,17816S,COORACLARE B N S,CILL ROIS,CO CLARE,,,,56,61,,,117,0,4,2,0,,,,,
CLARE,17832Q,KILNABOY N S,ENNIS,CO CLARE,,16,22,54,,,,92,0,4,1,0,,,,,
CLARE,17847G,S N AIBHISTIN NAOFA,CILL SEANAIGH,INIS,,37,,,,,,37,0,2,1,0,,,,,
CLARE,17898A,S N IOSEP NAOFA,BROADFORD,VIA LIMERICK,10,,,,,,,10,0,2,0,0,,,,,
CLARE,17957N,ENNIS CONVENT INF N S,ENNIS,CO CLARE,,,67,164,,,,231,1,9,6,0,,,,,
CLARE,18032M,S N CLUAIN MUINGE,CLONMONEY,NEWMARKET-ON-FERGUS,,,22,55,32,36,,145,0,5,2,0,,,,,
CLARE,18109V,S N INIS CEALTRACH,MOUNTSHANNON,CO. CLARE,,,48,26,,,,74,0,3,1,0,,,,,
CLARE,18168O,S N AN CHRIOCH,AN CHRIOCH,CO AN CHLAIR,,18,21,,,,,39,0,2,0,0,,,,,
CLARE,18190H,S N CRONAIN NFA AN CARN,INIS,CO CLARE,,28,,,,,,28,0,2,0,0,,,,,
CLARE,18225A,S N MHUIRE MILIUC,LUIMNEACH,CO LUIMNI,,16,24,80,30,,,150,0,6,2,0,,,,,
CLARE,18227E,SCOIL MHUIRE NAISIUNTA,CORA  FINNE,CO AN CHLAIR,,,21,82,32,,,135,0,5,3,0,,,,,
CLARE,18327I,S N CNOC DOIRE,COORACLARE,KILRUSH,,30,,,,,,30,0,2,1,0,,,,,
CLARE,18339P,SN IOSEF NAOFA,AN MHAIGH,LEACHT UI CHONCHUBHAIR,7,15,,,,,,22,0,2,1,0,,,,,
CLARE,18359V,S N CUAN,CILL BEATHACH,INIS,,19,20,,,,,39,0,2,0,0,,,,,
CLARE,18410S,S N LIOSCEANUIR,INIS,CO CLARE,,37,40,,,,,77,0,4,2,0,,,,,
CLARE,18467B,S N BAILE AN DROICHID,OBRIENS BRIDGE,LIMERICK,,14,20,56,30,,,120,0,5,1,0,,,,,
CLARE,18526O,BALLYCAR N S,NEWMARKET ON FERGUS,CO CLARE,,31,20,,,,,51,0,3,1,0,,,,,
CLARE,18540I,CLUAIN DRAIGNEACH,CLUAIN DRAIGHNEACH,LIOS UI CHATASAI,7,12,,,,,,19,0,2,1,0,,,,,
CLARE,18541K,S N CATHAIR AODHA,LISSYCASEY,ENNIS,,35,,,,,,35,0,2,0,1,,,,,
CLARE,18555V,LISSYCASEY N S,ENNIS,CO CLARE,,,65,54,,,,119,0,5,1,0,,,,,
CLARE,18565B,S N MA SHEASTA,MOYASTA,CO CLARE,,18,,28,,,,46,0,2,1,0,,,,,
CLARE,18624O,MERCY CONVENT KILLALOE,KILLALOE,CO CLARE,,34,22,,33,,,89,0,4,2,0,,,,,
CLARE,18630J,CARRIGAHOLT MIXED N S,CARRIGAHOLT,ENNIS,9,13,,,,,,22,0,2,2,0,,,,,
CLARE,18639E,S N BAILE NA CAILLI,ENNIS,CO CLARE,,18,24,56,,,,98,0,4,1,0,,,,,
CLARE,18696Q,S N DUBH RATH,CAISLEAN AN CHLAR,CO CLARE,,19,24,26,31,,,100,0,4,1,0,,,,,
CLARE,18720K,MILTOWN MALBAY B N S,MILTOWN MALBAY,CO CLARE,,14,65,,,36,,115,0,5,1,0,,,,,
CLARE,18739I,SHANNON AIRPORT 1 N S,SHANNON AIRPORT,CO CLARE,,30,24,56,,,,110,0,5,3,0,,,,,
CLARE,18740Q,SHANNON AIRPORT NO 2 NS,SHANNON AIRPORT,CO CLARE,9,15,,,,,,24,0,2,0,0,,,,,
CLARE,18753C,SAINT MARYS N S LAHINCH,INIS,CO CLARE,,18,20,54,60,,,152,0,6,3,0,,,,,
CLARE,18768P,FORGLEANN N S,FORGLEANN,LEACHT UI CHONCHUIR,,,43,,,,,43,0,2,0,0,,,,,
CLARE,18846J,AN DAINGIN,TULLA,ENNIS,,31,,,,,,31,0,2,0,0,,,,,
CLARE,18950E,S N DROIMAN DUDHAIRE,CAHER,VIA LIMERICK,,30,,,,,,30,0,2,0,0,,,,,
CLARE,19043W,NEW QUAY NS,BURREN,CO CLARE,,35,,,,,,35,0,2,1,0,,,,,
CLARE,19274S,ST CONAIRES NS,SHANNON,CO CLARE,,,115,105,225,70,,515,1,18,7,0,,,,,
CLARE,19338S,FLAGMOUNT CENTRAL NS,FLAGMOUNT CENTRAL NS,FLAGMOUNT,,18,20,29,,,,67,0,3,1,1,,,,,
CLARE,19366A,SCARIFF CENTRAL N S,SCARIFF,CO CLARE,,,23,132,,,,155,0,6,3,0,,,,,
CLARE,19386G,LABASHEEDA CENTRAL N S,LABASHEEDA,CO CLARE,,31,,,,,,31,0,2,0,0,,,,,
CLARE,19442N,RUAN CENTRAL NS,RUAN,ENNIS,,16,21,26,30,,,93,0,4,1,0,,,,,
CLARE,19551S,INCHICRONAN CENTRAL NS,CRUSHEEN,CO CLARE,,,24,81,,,,105,0,4,2,0,,,,,
CLARE,19552U,NAOMH TOLA,SHANNON,CO CLARE,,,23,81,129,,,233,1,8,4,0,,,,,
