"Number of pupils in each class at individual national school level, 2011/2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: The data contained in this sheet is sourced from the 2011/2012 Census of Primary Schools and refers to pupils in mainstream classes only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Class No. 1,Class No. 2,Class No. 3,Class No. 4,Class No. 5,Class No. 6,Class No. 7,Class No. 8,Class No. 9,Class No. 10,Class No. 11,Class No. 12,Class No. 13,Class No. 14,Class No. 15,Class No. 16,Class No. 17,Class No. 18,Class No. 19,Class No. 20,Class No. 21,Class No. 22,Class No. 23,Class No. 24,Class No. 25,Class No. 26,Class No. 27,Class No. 28,Class No. 29,Class No. 30,Class No. 31,Class No. 32,Class No. 33,Class No. 34,Class No. 35
COUNTY,RollNo,SCHOOL,ADDRESS1,ADDRESS2,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils,No Pupils
DONEGAL,18007N,S N OLIBHEAR PLUINCEID,RANN NA FEIRSTE,ANAGAIRE,23,28,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18052S,S N MUIRE GAN SMAL,CLOCHAR LORETO,LEITIR CEANAINN,28,30,31,30,30,30,24,24,23,24,23,21,25,23,25,26,25,28,29,28,,,,,,,,,,,,,,,
DONEGAL,18058H,SCOIL NAOMH SEOSAMH,RATHDOMHNAILL,TREANTACH,23,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18076J,SCOIL NÁISIÚNTA MUIRE GAN SMÁL,TOWNPARKS,LIFFORD,22,22,15,13,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18086M,DUNFANAGHY N S,DUNFANAGHY,CO DONEGAL,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18114O,S N NAOMH EIGHNEACH,DISEART EIGHNIGH,BUNCRANNACH,20,32,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18120J,SCOIL MHUIRE,CAISEAL CEANNDROMA,CO DHUN NA NGALL,25,23,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18129E,SCOIL NAOMH PEADAR,MOUNTCHARLES,CO DUN NA NGALL,20,24,26,23,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18131O,S N MUIRE GAN SMAL,ARD ARATHA,CO DUN NA NGALL,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18151U,S N MHUIRE,BAILE AN NGALLOGLACH,LETTERKENNY,23,26,25,23,26,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18172F,GLENEELY N S,GLEANN AN FHAOILIDH,KILLYGORDAN,27,20,23,26,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18219F,SN CHONAILL,MACHAIRE CHLOCHAIR,BUN BEAG,13,18,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18241V,SCOIL NAOMH CHOLMCILLE,DRUMMAN,RAMELTON,26,24,20,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18250W,S N BAILE MOR,DUNFANAGHY PO,LETTERKENNY,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18251B,AYR HILL N S RAMELTON,RAMELTON,LETTERKENNY,13,19,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18286U,S N NA HACRAI,AILT AN CHORRAIN,LEITIRCEANAINN,21,30,17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18295V,S N MIN AN AOIRE,AN CHARRAIG,CO DHUN NA NGALL,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18319J,S N TRIANTA,TRIANTAGH,LETTERKENNY,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18371L,SCOIL MHUIRE,AN CRAOSLOCH,LETTERKENNY,18,27,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18421A,SN DUN CEANNFHAOLAIDH,DUN CEANNFHAOLAIDH,CO DONEGAL,26,22,21,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18446Q,SCOIL NAOMH MHUIRE,CEANN MHALANNA,BALLYGORMAN LIFFORD,21,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18508M,NAOMH ADHAMHNAIN,LAGHEY PO,DONEGAL,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18517N,SCOIL MHUIRE,DRISTEARNAIN,GLENEELY PO LIFFORD,25,24,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18520C,SCOIL PHADRAIG,RATH SEINCHE,CLONMANY,26,28,26,26,21,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18605K,SCOIL NAOMH PADRAIG BOYS,CARNDONAGH,CO DONEGAL,22,23,17,13,17,20,28,22,21,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18611F,S N NA CARRAIGE,DUN NA NGALL,CO DHUN NA NGALL,30,22,32,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18625Q,SCOIL CHOILMCILLE,CONVENT ROAD,LETTERKENNY,25,25,22,24,29,28,29,29,23,22,20,27,25,24,28,28,26,,,,,,,,,,,,,,,,,,
DONEGAL,18652T,S N AN CHAISEAL,GLEANN CHOLMCILLE,CO DHUN NA NGALL,14,16,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18700E,S N BAILE AN CAISLEAN,BAILE AN CHAISLEAIN,ST JOHNSTON LIFFORD,17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18703K,S N BAILE AN BHAILSIG,BAILE AN BHAILSIGH,WELCHTOWN,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18710H,SN NA CROISE NAOFA,DUNFANAGHY,CO DONEGAL,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18731P,ROBERTSON N S,BALLYBOFEY P O,LIFFORD,23,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18737E,SCOIL BHRIDE,CONMHAGH,LIFFORD,22,29,16,21,28,24,27,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18766L,SCOIL CHOLMCILLE,DUBHLIN RIABACH,CARRAIG AIRT,13,23,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18791K,SCOIL CHOLMCILLE,DROIM AN MHAOIR,MOVILLE,19,21,26,25,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18844F,Scoil Mhuire,BELCRUIT,KINCASSLAGH,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18874O,KILLYGORDAN N S,Main Street,Killygordon,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,18939Q,S N DONAIGH,CARNDONAGH,CO DONEGAL,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19009W,CRAANFORD N S,CRAANFORD,CO DONEGAL,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19089A,KILLAGHTEE N S,KILLAGHTEE,DUNKINEELY,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19228L,S N NAOMH BRID,NA DUNAIBH,LEITIR CEANAINN,25,19,17,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19235I,PORTLEAN N S,KILMACRENNAN,LETTERKENNY,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19252I,S N UMLACH,CARRIGART,CO DONEGAL,19,26,21,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19260H,S N CHOLMCILLE,BAILE NA FINNE,CO DHUN NA NGALL,20,23,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19280N,SCOIL NAOMH BRID,MUFF,LIFFORD,28,30,31,22,33,29,16,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19310T,SCOIL NAOMH EARNAN,BAILE AN TSRATHA,CO DONEGAL,28,28,24,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19313C,GLENSWILLY N S,NEWMILLS,LETTERKENNY,14,14,35,31,35,21,31,28,30,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19333I,DOOISH N S,BALLYBOFEY,CO DONEGAL,24,29,25,30,30,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19343L,S N DHUBHTHAIGH,ANAGAIRE,LEITIR CEANAINN,26,21,27,21,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19359D,S N NAOMH AONGHUS,BRIDGEND,LIFFORD,25,23,33,32,27,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19411C,S N BAILE RAIGHIN,LETTERKENNY,CO DONEGAL,23,27,28,30,24,30,27,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19491D,SCOIL MHUIRE,RATHMEALLTAIN,CO DHUN NA NGALL,24,22,21,24,31,27,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19518U,S N NAOMH BAOITHIN,SC NAOMH BAOITHIN,ST JOHNSTON,28,26,32,27,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19553W,DUNGLOE CENTRAL,DUNGLOE,CO DONEGAL,33,34,26,29,35,25,21,21,20,19,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19614Q,NAOMH BODAIN,CULDAFF,LIFFORD,19,16,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19633U,MOYLE N S,MOYLE NS,NEWTOWNCUNNINGHAM,18,20,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19685Q,SCOIL CHARTHA NAOFA,CHILL CHARTHA,CO DHUN NA NGALL,15,18,21,18,17,16,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19686S,ST MACARTANS CENTRAL,BUNDORAN,CO DONEGAL,30,29,28,32,31,34,22,22,27,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19756N,ST CONALS,NARIN,PORTNOO,26,22,16,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19912B,SCOIL MHUIRE,GLENTIES,CO DONEGAL,17,20,25,25,25,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19927O,SCOIL MHUIRE B & C,STRANORLAR,CO DONEGAL,27,27,25,22,29,30,33,33,28,29,33,34,22,23,23,24,22,21,,,,,,,,,,,,,,,,,
DONEGAL,19959E,SCOIL NAOMH FIONAN,WHITECASTLE,QUIGLEYS POINT,27,24,26,26,29,31,28,28,29,31,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19963S,SCOIL AODH RUA&NUALA,DUN NA NGALL,CO DONEGAL,17,16,24,23,27,29,29,28,23,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,19967D,SCOIL IOSAGAIN,BUNCRANA,CO DONEGAL,22,21,20,17,26,24,25,27,29,28,31,32,28,24,24,25,29,29,29,30,26,29,34,29,31,,,,,,,,,,
DONEGAL,19971R,GAELSCOIL ADHAMHNAIN,GLEANN CEARRA,LEITIR CEANAINN,30,30,23,21,35,35,34,25,28,24,23,24,24,26,27,,,,,,,,,,,,,,,,,,,,
DONEGAL,20054L,SCOIL EOGHAN,MOVILLE,CO DONEGAL,23,29,28,27,18,27,33,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,20096E,GAELSCOIL NA GCEITHRE MAISTRI,BAILE DUN NA NGALL,CO DUN NA NGALL,25,17,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,20097G,GAELSCOIL BHUN CRANNACH,BUN CRANNACH,DHUN NA NGALL,24,24,29,27,24,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,20144M,GAELSCOIL CHOIS FEABHAILL,GAA,BUN AN PHOBAIL,13,25,22,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,20150H,HOLY FAMILY NATIONAL SCHOOL,THE ROCK,BALLYSHANNON,22,25,28,36,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,20167B,GAELSCOIL EIRNE,FEARAINN AN BHAILE,BEAL ATHA SEANNAIGH,21,22,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONEGAL,20235P,LETTERKENNY EDUCATE TOGETHER,BALLYRAINE HALLS,LETTERKENNY,29,34,30,21,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,00743W,MATER DEI PRIMARY SCHOOL,BASIN LANE,JAMES STREET,26,19,19,14,12,23,16,16,17,17,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,00752A,CENTRAL SENIOR MXD N S,MARLBORO ST,DUBLIN 1,21,23,23,17,22,20,19,19,19,22,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,01795A,CENTRAL INFS SCHOOL,MARLBORO ST,DUBLIN 1,18,19,19,17,17,15,15,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,03917V,NAOMH PADRAIG BOYS,CAMBRIDGE ROAD,RINGSEND,13,11,15,14,28,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,04992R,SCOIL AN CROI NAOFA,GLASNEVIN,DUBLIN 11,28,28,24,24,27,28,29,28,26,26,29,29,26,26,29,29,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,05933G,PRESENTATION PRIMARY SCHOOL,GEORGES HILL,DUBLIN 7,12,12,11,18,21,14,17,16,15,15,14,12,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,07546J,GOLDENBRIDGE CONVENT,GOLDENBRIDGE,INCHICORE,21,21,21,21,21,20,20,23,21,23,24,25,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,09750S,ST JOSEPHS BOYS N S,TERENURE,DUBLIN 6,31,29,30,30,31,31,30,31,29,29,29,29,33,32,32,32,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,09932B,STANHOPE ST CONVENT,STANHOPE STREET,DUBLIN 7,20,21,19,19,19,18,17,22,24,21,21,23,20,26,27,26,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,10653E,CHAPELIZOD N S,CHAPELIZOD,DUBLIN 20,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,11525A,ST PATRICKS N SCHOOL,DRUMCONDRA,DUBLIN 9,21,21,21,21,19,19,28,28,29,30,29,30,26,27,30,30,29,28,,,,,,,,,,,,,,,,,
DUBLIN CITY,11578V,CITY QUAY BOYS N S,CITY QUAY,DUBLIN 2,15,15,23,20,14,16,22,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,11776C,ST LAURENCE O TOOLE JUNIOR BOYS,SEVILLE PLACE,DUBLIN 1,10,15,18,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,11894I,SCOIL MHUIRE,Gilford Road,Sandymount,25,24,37,35,31,25,32,28,19,24,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,12448N,GARDINER STREET CONVENT,GARDINER STREET,DUBLIN 1,17,14,15,17,17,15,16,15,18,22,25,20,19,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,12755W,KILDARE PLACE  N S,96 UPPER RATHMINES RD,DUBLIN 6,28,28,28,26,26,26,28,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,13611D,PRESENTATION PRIMARY SCHOOL,BLACKPITTS,DUBLIN 8,21,22,23,17,17,20,18,16,16,26,16,14,30,27,27,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,13612F,PRESENTATION PRIMARY SCHOOL,TERENURE,DUBLIN 6W,31,31,23,24,25,23,25,25,31,29,24,26,23,28,27,28,29,27,28,30,,,,,,,,,,,,,,,
DUBLIN CITY,13815T,HOWTH RD MXD N S,HOWTH RD,CLONTARF,24,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,14463T,ST COLUMBAS N S MXD,NORTH STRAND,DUBLIN 3,18,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,14556D,ST ENDAS PRIMARY SCHOOL,ST ENDAS PRIMARY SCHOOL,WHITEFRIAR ST,23,18,19,21,13,16,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,14717B,RATHGAR N S,RATHGAR,DUBLIN 6,24,24,24,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,14917J,ZION PARISH PRIMARY SCHOOL,BUSHY PARK ROAD,RATHGAR,23,22,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,14980Q,GLASNEVIN N S,BOTANIC AVENUE,GLASNEVIN,18,25,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,15056L,S N SAN VINSEANN CAILIN,NORTH WILLIAM ST,DUBLIN 1,12,12,17,14,14,15,18,19,23,15,15,10,10,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,15253N,ST PATRICKS GIRLS NS,CAMBRIDGE ROAD,DUBLIN 4,27,13,21,15,21,29,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,15618E,SANDFORD N S,RANELAGH,DUBLIN 6,28,30,29,32,28,29,30,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,15622S,ST PATRICKS NS,CHAPELIZOD VILLAGE,CHAPELIZOD,31,26,31,32,27,27,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,15625B,ST CATHERINES WEST N S,DONORE AVENUE,SOUTH CIRCULAR ROAD,28,25,26,24,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,15816I,ST VINCENTS INF BOYS,NORTH WILLIAM STREET,DUBLIN 1,12,10,10,13,14,14,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,15895H,DRUMCONDRA N S,CHURCH AVENUE,DRUMCONDRA,12,22,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,15995L,CANON O HANLON MEMORIAL N S,SANDYMOUNT,DUBLIN 4,24,22,26,25,30,25,33,25,26,30,32,19,18,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,16177F,LINDSAY ROAD N S,LINDSAY ROAD,GLASNEVIN,26,30,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,16567S,ST BRIGIDS CONVENT N S,HADDINGTON ROAD,DUBLIN 4,22,18,28,29,24,29,27,17,25,26,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,16577V,ST BRIGIDS CONVENT,GLASNEVIN,DUBLIN 11,29,30,29,30,30,30,23,26,30,30,30,31,29,28,30,30,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,16651H,ST CLARES CONVENT N S,HAROLDS CROSS ROAD,DUBLIN 6W,29,29,20,20,23,21,25,25,25,24,17,20,14,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,16659A,ST COLUMBAS CON G & I,IONA ROAD,GLASNEVIN,25,28,23,22,29,26,23,23,34,30,34,31,27,32,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,16695E,SCOIL NA MBRATHAR,NORTH BRUNSWICK STREET,DUBLIN 7,17,17,19,23,20,23,26,26,24,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,16753P,ST VINCENT DE PAULS GIRLS SCHOOL,GRIFFITH AVENUE,DUBLIN 9,29,29,32,30,30,31,29,30,20,20,21,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,16754R,ST VINCENTS CONVENT INF N S,67 GRIFFITH AVENUE,DUBLIN 9,28,28,28,28,26,27,28,29,27,27,27,28,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,16759E,S N MHUIRE NA MBRATHAR,MARINO,DUBLIN 9,31,31,33,31,29,29,26,26,25,24,24,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,16786H,ST BRIGIDS PRIMARY SCHOOL,THE COOMBE,DUBLIN 8,24,24,24,24,25,25,18,17,25,14,17,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,16792C,ST BRIGIDS CONVENT N S,KILLESTER,DUBLIN 5,25,27,26,26,31,30,27,27,29,30,27,26,27,26,29,28,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,16860Q,CORPUS CHRISTI N S,HOME FARM ROAD,DRUMCONDRA,30,29,25,26,27,28,26,27,25,26,31,30,27,25,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,16964F,SCOIL MHUIRE OGH 1,LORETO COLLEGE,CRUMLIN RD,19,21,19,18,26,26,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,16966J,SCOIL NAISIUNTA STRATFORD,1 ZION ROAD,RATHGAR,24,30,26,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,16988T,CHRIST THE KING B N S,CABRA,DUBLIN 7,10,7,24,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,16989V,CHRIST THE KING G N S,CABRA,DUBLIN 7,16,26,18,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17083B,S N MUIRE GAN SMAL B,INCHICORE,DUBLIN 8,23,23,19,17,20,20,19,17,24,22,22,16,19,18,35,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17104G,ST FRANCIS JUNIOR NATIONAL SCHOOL,PRIORSWOOD,DUBLIN 17,14,15,14,16,16,19,20,19,15,15,14,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17110B,NAOMH LORCAN O TUATHAIL,PLAS SEIBHIL,BAILE ATHA CLIATH 1,13,11,19,18,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17148D,S N EOIN BAISDE G SEN,SEAFIELD ROAD,CLONTARF,27,29,27,28,29,29,27,29,28,28,28,28,24,29,28,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17210F,CLOCHAR LUGHAIDH CAILIN,WILLIAMS PARK,RATHMINES,27,28,28,28,29,26,25,24,26,29,28,33,32,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17211H,CLOCHAR LUGHAIDH NAOIDH,WILLIAMS PARK,RATHMINES,25,26,26,26,29,29,29,28,24,26,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17214N,St. Vincent's Primary School,Christian Brothers,Glasnevin,31,30,22,23,30,27,30,29,28,26,24,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17279S,SCOIL MUIRE,HADDINGTON ROAD,DUBLIN 4,16,17,22,30,22,30,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17318C,SCOIL AN LEINBH IOSA B,LARKHILL,WHITEHALL,30,34,37,30,17,17,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17355I,MUIRE NA DEA COIRLE G,MOURNE ROAD,DRIMNAGH,24,17,15,14,25,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17356K,MUIRE NA DEA COIRLE INF,MOURNE ROAD,DUBLIN 12,21,22,20,22,20,20,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17367P,SCOIL MHUIRE GNS,NAVAN ROAD,DUBLIN 7,21,20,24,23,28,27,23,25,26,27,29,29,26,25,28,29,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17459U,CHRIST THE KING I G,CABRA,DUBLIN 7,20,20,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17464N,"FIONNBARRA NAOFA B.N.S.,",Kilkieran Road,Cabra West,13,11,23,21,27,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17465P,DOMINICAN CONVENT GIRLS,CABRA,DUBLIN 7,16,16,23,23,25,16,16,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17466R,ST CATHERINES INFANT SCHOOL,CABRA,DUBLIN 7,17,17,14,13,18,19,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17603B,SCOIL IOSAGAIN,AUGHAVANNAGH ROAD,CRUMLIN,23,24,23,23,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17683C,MUIRE OG 2 LORETO CON,CRUMLIN ROAD,DUBLIN 12,20,19,20,16,16,16,16,15,15,15,21,21,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17730I,S N NA LANAI GLASA,SEAFIELD AVENUE,CLONTARF,31,29,26,30,25,27,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17732M,SCOIL CHIARAIN,ASCAL UI CHOILEAIN,DOMHNACH CAIRNE,22,16,16,18,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17881G,SCOIL UI CHONAILL,NTH RICHMOND STREET,DUBLIN 1,16,16,22,22,21,20,17,21,19,19,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17891J,SCOIL MHUIRE,MOUNT SACKVILLE CONVENT,CHAPELIZOD,28,29,32,32,31,29,32,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17893N,SANCTA MARIA C B S,SYNGE ST,DUBLIN 8,15,13,15,19,23,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17912O,S N EOIN BOSCO BUACH,NAVAN ROAD,DUBLIN 7,27,28,28,27,28,29,24,25,27,23,22,22,31,28,30,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17936F,S N EOIN BAISDE B SIN,SEAFIELD RD,CLONTARF,26,28,27,26,26,27,28,28,27,27,28,30,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17976R,SCOIL ASSAIM B,RAHENY,DUBLIN 5,29,28,31,30,27,27,27,29,27,21,,,,,,,,,,,,,,,,,,,,,,,,,
DUBLIN CITY,17977T,SCOIL AINE C,RAHENY,DUBLIN 5,23,26,31,31,31,23,30,28,31,23,26,,,,,,,,,,,,,,,,,,,,,,,,
